x,y,colour,velocity,time
1897,853,"(255,255,255)",71.01716297491565,0
1698,382,"(255,255,255)",28.205662314801234,1
246,695,"(255,255,255)",18.667155640310984,2
1505,911,"(255,255,255)",17.176763972421888,3
1624,190,"(255,255,255)",17.64251136863723,4
86,193,"(255,255,255)",13.245855948364383,5
1863,347,"(255,255,255)",43.072319201995015,6
38,741,"(255,255,255)",33.64559190259645,7
1108,304,"(255,255,255)",77.8543347513569,8
1161,96,"(255,255,255)",30.47850960833211,9
1297,777,"(255,255,255)",28.112512835558164,10
617,610,"(255,255,255)",52.85301452251724,11
450,155,"(255,255,255)",127.0,12
1460,402,"(255,255,255)",19.486871057649992,13
1906,205,"(255,255,255)",25.26213877072026,14
1270,725,"(255,255,255)",6.98621094323016,15
1148,253,"(255,255,255)",127.0,16
6,690,"(255,255,255)",7.5823676103858,17
544,1070,"(255,255,255)",7.675517089628869,18
1781,169,"(255,255,255)",28.969488044594396,19
1064,983,"(255,255,255)",6.4832037553175885,20
323,461,"(255,255,255)",7.899075839812234,21
1721,656,"(255,255,255)",4.731993545547895,22
505,1039,"(255,255,255)",9.035499486577674,23
762,1061,"(255,255,255)",3.018043127475429,24
1197,967,"(255,255,255)",2.6640751063517674,25
243,411,"(255,255,255)",9.333577820155492,26
306,1018,"(255,255,255)",2.533665835411471,27
557,968,"(255,255,255)",8.774680944697081,28
824,994,"(255,255,255)",2.8503740648379052,29
